FlightNumber,Date,BoosterVersion,PayloadMass,Orbit,LaunchSite,Outcome,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,Longitude,Latitude
6,2010-06-04,Falcon 9,,,Unknown Pad,None None,1,False,False,False,,,,,,
7,2010-12-08,Falcon 9,,,Unknown Pad,None None,1,False,False,False,,,,,,
8,2012-05-22,Falcon 9,,,Unknown Pad,None None,1,False,False,False,,,,,,
9,2012-10-08,Falcon 9,,,Unknown Pad,None None,1,False,False,False,,,,,,
10,2013-03-01,Falcon 9,,,Unknown Pad,None None,1,False,False,False,,,,,,
11,2013-09-29,Falcon 9,,,Unknown Pad,False Ocean,1,False,False,False,,,,,,
12,2013-12-03,Falcon 9,,,Unknown Pad,None None,1,False,False,False,,,,,,
13,2014-01-06,Falcon 9,,,Unknown Pad,None None,1,False,False,False,,,,,,
14,2014-04-18,Falcon 9,,,Unknown Pad,True Ocean,1,False,False,True,,,,,,
15,2014-07-14,Falcon 9,,,Unknown Pad,True Ocean,1,False,False,True,,,,,,
16,2014-08-05,Falcon 9,,,Unknown Pad,None None,1,False,False,False,,,,,,
17,2014-09-07,Falcon 9,,,Unknown Pad,None None,1,False,False,False,,,,,,
18,2014-09-21,Falcon 9,,,Unknown Pad,False Ocean,1,False,False,False,,,,,,
19,2015-01-10,Falcon 9,,,Unknown Pad,False ASDS,1,True,False,True,5e9e3032383ecb761634e7cb,,,,,
20,2015-02-11,Falcon 9,,,Unknown Pad,True Ocean,1,True,False,True,,,,,,
21,2015-03-02,Falcon 9,,,Unknown Pad,None None,1,False,False,False,,,,,,
22,2015-04-14,Falcon 9,,,Unknown Pad,False ASDS,1,True,False,True,5e9e3032383ecb761634e7cb,,,,,
23,2015-04-27,Falcon 9,,,Unknown Pad,None None,1,False,False,False,,,,,,
24,2015-06-28,Falcon 9,,,Unknown Pad,None ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,,
25,2015-12-22,Falcon 9,,,Unknown Pad,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,,,,,
26,2016-01-17,Falcon 9,,,Unknown Pad,False ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,,,,,
27,2016-03-04,Falcon 9,,,Unknown Pad,False ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,,
28,2016-04-08,Falcon 9,,,Unknown Pad,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,,
29,2016-05-06,Falcon 9,,,Unknown Pad,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,,
30,2016-05-27,Falcon 9,,,Unknown Pad,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,,
31,2016-06-15,Falcon 9,,,Unknown Pad,False ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,,
32,2016-07-18,Falcon 9,,,Unknown Pad,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,,,,,
33,2016-08-14,Falcon 9,,,Unknown Pad,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,,
34,2016-09-01,Falcon 9,,,Unknown Pad,None ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,,
35,2017-01-14,Falcon 9,,,Unknown Pad,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,,,,,
